"CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM"
35,400,42370,166164,"Amino Acid","Glutamate Metabolism",64,"NAMED","DWAKNKKXGALPNW-UHFFFAOYSA-N","OC(C1CCC=N1)=O","S-1-pyrroline-5-carboxylate","S-1-pyrroline-5-carboxylate","2906-39-0","10140206","HMDB0001301","C04322","11966181","Pos Early"
50,402,485,157851,"Amino Acid","Polyamine Metabolism",553,"NAMED","ATHGHQPFGPMSJY-UHFFFAOYSA-N","NCCCCNCCCN","spermidine","spermidine","124-20-9","1071","HMDB0001257","C00315","1102","Pos Late"
55,400,27665,155829,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4335,"NAMED","LDHMAVIPBRSVRG-UHFFFAOYSA-N","C[N+]1=CC(C([NH-])=O)=CC=C1","1-methylnicotinamide","1-methylnicotinamide","1005-24-9","8305504","HMDB0000699","C02918","457","Pos Early"
62,209,38395,143675,"Lipid","Fatty Acid, Dihydroxy",2047,"NAMED","CQSLTKIXAJTQGA-FLIBITNWSA-N","CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O","12,13-DiHOME","12,13-DiHOME","263399-35-5","8412123","HMDB0004705","C14829","10236635","Neg"
71,209,437,123157,"Amino Acid","Tryptophan Metabolism",295,"NAMED","DUUGKQCEGZLZNO-UHFFFAOYSA-N","OC1=CC=C(NC=C2CC(O)=O)C2=C1","5-hydroxyindoleacetate","5-hydroxyindoleacetate","54-16-0","1760","HMDB0000763","C05635","1826","Neg"
93,305,528,146398,"Energy","TCA Cycle",1462,"NAMED","KPGXRSRHYNQIFN-UHFFFAOYSA-N","O=C(C(O)=O)CCC(O)=O","alpha-ketoglutarate","alpha-ketoglutarate","328-50-7,22202-68-2,305-72-6","50","HMDB0000208","C00026","51","Polar"
98,209,1417,124553,"Amino Acid","Tryptophan Metabolism",277,"NAMED","HCZHHEIFKROPDY-UHFFFAOYSA-N","OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1","kynurenate","kynurenate","492-27-3","3712","HMDB0000715","C01717","3845","Neg"
111,305,1549,147711,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",433,"NAMED","DBXBTMSZEOQQDU-UHFFFAOYSA-N","CC(C(O)=O)CO","3-hydroxyisobutyrate","3-hydroxyisobutyrate","2068-83-9","10140307","HMDB0000023,HMDB0000336","C01188,C06001","11966314","Polar"
112,305,531,146400,"Lipid","Mevalonate Metabolism",3194,"NAMED","NPOAOTPXWNWTSH-UHFFFAOYSA-N","CC(CC(O)=O)(CC(O)=O)O","3-hydroxy-3-methylglutarate","3-hydroxy-3-methylglutarate","503-49-1","4573695","HMDB0000355","C03761","1662,5459993","Polar"
117,209,1101,124537,"Amino Acid","Tyrosine Metabolism",215,"NAMED","QRMZSPFSDQBLIX-UHFFFAOYSA-N","COC1=CC(CC(O)=O)=CC=C1O","homovanillate (HVA)","homovanillate (HVA)","306-08-1","5323114","HMDB0000118","C05582","1738","Neg"
