CHEMICAL_NAME,SUPER_PATHWAY,KEGG
CER(18:1),Complex lipids,C00195
CER(22:0),Complex lipids,C00195
CER(24:1),Complex lipids,C00195
CER(26:1),Complex lipids,C00195
CER(16:0),Complex lipids,C00195
CER(20:1),Complex lipids,C00195
CER(22:1),Complex lipids,C00195
CER(18:0),Complex lipids,C00195
CER(20:0),Complex lipids,C00195
CER(24:0),Complex lipids,C00195
CER(14:0),Complex lipids,C00195
CER(26:0),Complex lipids,C00195
CE(22:2),Complex lipids,C02530
CE(14:0),Complex lipids,C02530
CE(14:1),Complex lipids,C02530
CE(15:0),Complex lipids,C02530
CE(18:4),Complex lipids,C02530
CE(20:2),Complex lipids,C02530
CE(22:0),Complex lipids,C02530
CE(20:5),Complex lipids,C02530
CE(22:1),Complex lipids,C02530
CE(22:5),Complex lipids,C02530
CE(18:2),Complex lipids,C02530
CE(18:3),Complex lipids,C02530
CE(22:6),Complex lipids,C02530
CE(17:0),Complex lipids,C02530
CE(18:0),Complex lipids,C02530
CE(22:4),Complex lipids,C02530
CE(24:0),Complex lipids,C02530
CE(24:1),Complex lipids,C02530
CE(16:0),Complex lipids,C02530
CE(16:1),Complex lipids,C02530
CE(20:0),Complex lipids,C02530
CE(20:1),Complex lipids,C02530
CE(20:3),Complex lipids,C02530
CE(12:0),Complex lipids,C02530
CE(18:1),Complex lipids,C02530
CE(20:4),Complex lipids,C02530
DAG(14:0/14:0),Complex lipids,C00165
DAG(16:0/18:2),Complex lipids,C00165
DAG(16:1/20:4),Complex lipids,C00165
DAG(18:0/18:2),Complex lipids,C00165
DAG(18:0/22:6),Complex lipids,C00165
DAG(18:1/18:1),Complex lipids,C00165
DAG(18:1/18:2),Complex lipids,C00165
DAG(18:1/20:5),Complex lipids,C00165
DAG(18:1/22:4),Complex lipids,C00165
DAG(18:2/18:3),Complex lipids,C00165
DAG(12:0/18:2),Complex lipids,C00165
DAG(14:1/16:0),Complex lipids,C00165
DAG(15:0/18:1),Complex lipids,C00165
DAG(16:0/20:4),Complex lipids,C00165
DAG(16:1/22:6),Complex lipids,C00165
DAG(18:1/20:4),Complex lipids,C00165
DAG(18:1/22:6),Complex lipids,C00165
DAG(18:2/20:4),Complex lipids,C00165
DAG(18:2/22:5),Complex lipids,C00165
DAG(12:0/16:0),Complex lipids,C00165
DAG(16:0/18:1),Complex lipids,C00165
DAG(16:1/16:1),Complex lipids,C00165
DAG(16:1/18:2),Complex lipids,C00165
DAG(18:1/20:3),Complex lipids,C00165
DAG(12:0/18:1),Complex lipids,C00165
DAG(14:0/18:1),Complex lipids,C00165
DAG(18:1/20:1),Complex lipids,C00165
DAG(18:1/22:5),Complex lipids,C00165
DAG(12:0/18:0),Complex lipids,C00165
DAG(14:0/20:0),Complex lipids,C00165
DAG(14:0/20:4),Complex lipids,C00165
DAG(15:0/18:2),Complex lipids,C00165
DAG(16:0/16:0),Complex lipids,C00165
DAG(16:0/16:1),Complex lipids,C00165
DAG(16:0/18:3),Complex lipids,C00165
DAG(16:0/22:6),Complex lipids,C00165
DAG(16:1/18:3),Complex lipids,C00165
DAG(18:0/18:3),Complex lipids,C00165
DAG(14:0/18:2),Complex lipids,C00165
DAG(16:1/18:0),Complex lipids,C00165
DAG(16:1/18:1),Complex lipids,C00165
DAG(16:1/20:2),Complex lipids,C00165
DAG(18:2/20:3),Complex lipids,C00165
DAG(18:2/22:4),Complex lipids,C00165
DAG(14:0/16:0),Complex lipids,C00165
DAG(14:0/18:3),Complex lipids,C00165
DAG(14:1/18:1),Complex lipids,C00165
DAG(16:0/22:5),Complex lipids,C00165
DAG(18:1/20:2),Complex lipids,C00165
DAG(14:0/16:1),Complex lipids,C00165
DAG(14:0/22:6),Complex lipids,C00165
DAG(16:0/18:0),Complex lipids,C00165
DAG(16:0/20:3),Complex lipids,C00165
DAG(16:0/20:5),Complex lipids,C00165
DAG(16:1/20:0),Complex lipids,C00165
DAG(18:0/18:1),Complex lipids,C00165
DAG(18:2/20:5),Complex lipids,C00165
DAG(18:2/22:6),Complex lipids,C00165
DCER(20:0),Complex lipids,C12126
DCER(26:1),Complex lipids,C12126
DCER(18:0),Complex lipids,C12126
DCER(22:0),Complex lipids,C12126
DCER(24:1),Complex lipids,C12126
DCER(26:0),Complex lipids,C12126
DCER(14:0),Complex lipids,C12126
DCER(22:2),Complex lipids,C12126
DCER(18:1),Complex lipids,C12126
DCER(20:1),Complex lipids,C12126
DCER(16:0),Complex lipids,C12126
DCER(24:0),Complex lipids,C12126
DCER(22:1),Complex lipids,C12126
HCER(22:0),Complex lipids,C21021
HCER(22:1),Complex lipids,C21021
HCER(18:0),Complex lipids,C21021
HCER(20:0),Complex lipids,C21021
HCER(14:0),Complex lipids,C21021
HCER(16:0),Complex lipids,C21021
HCER(18:1),Complex lipids,C21021
HCER(26:0),Complex lipids,C21021
HCER(26:1),Complex lipids,C21021
HCER(20:1),Complex lipids,C21021
HCER(24:0),Complex lipids,C21021
HCER(24:1),Complex lipids,C21021
LCER(14:0),Complex lipids,C01290
LCER(18:0),Complex lipids,C01290
LCER(18:1),Complex lipids,C01290
LCER(20:0),Complex lipids,C01290
LCER(24:1),Complex lipids,C01290
LCER(22:0),Complex lipids,C01290
LCER(26:0),Complex lipids,C01290
LCER(26:1),Complex lipids,C01290
LCER(20:1),Complex lipids,C01290
LCER(24:0),Complex lipids,C01290
LCER(16:0),Complex lipids,C01290
LCER(22:1),Complex lipids,C01290
LPC(14:0),Complex lipids,C04230
LPC(15:0),Complex lipids,C04230
LPC(16:0),Complex lipids,C04230
LPC(16:1),Complex lipids,C04230
LPC(20:0),Complex lipids,C04230
LPC(20:4),Complex lipids,C04230
LPC(20:5),Complex lipids,C04230
LPC(22:6),Complex lipids,C04230
LPC(20:1),Complex lipids,C04230
LPC(22:4),Complex lipids,C04230
LPC(20:2),Complex lipids,C04230
LPC(17:0),Complex lipids,C04230
LPC(18:0),Complex lipids,C04230
LPC(18:1),Complex lipids,C04230
LPC(20:3),Complex lipids,C04230
LPC(18:2),Complex lipids,C04230
LPC(22:5),Complex lipids,C04230
LPC(18:3),Complex lipids,C04230
LPE(18:1),Complex lipids,C04438
LPE(18:0),Complex lipids,C04438
LPE(20:4),Complex lipids,C04438
LPE(22:4),Complex lipids,C04438
LPE(20:1),Complex lipids,C04438
LPE(22:1),Complex lipids,C04438
LPE(22:6),Complex lipids,C04438
LPE(18:2),Complex lipids,C04438
LPE(20:2),Complex lipids,C04438
LPE(17:0),Complex lipids,C04438
LPE(20:5),Complex lipids,C04438
LPE(16:1),Complex lipids,C04438
LPE(20:3),Complex lipids,C04438
LPE(16:0),Complex lipids,C04438
LPE(18:3),Complex lipids,C04438
LPE(22:5),Complex lipids,C04438
MAG(12:0),Complex lipids,C01885
MAG(14:1),Complex lipids,C01885
MAG(15:0),Complex lipids,C01885
MAG(16:0),Complex lipids,C01885
MAG(16:1),Complex lipids,C01885
MAG(17:0),Complex lipids,C01885
MAG(18:0),Complex lipids,C01885
MAG(18:1),Complex lipids,C01885
MAG(18:2),Complex lipids,C01885
MAG(18:3),Complex lipids,C01885
MAG(18:4),Complex lipids,C01885
MAG(20:0),Complex lipids,C01885
MAG(20:1),Complex lipids,C01885
MAG(20:2),Complex lipids,C01885
MAG(20:3),Complex lipids,C01885
MAG(20:4),Complex lipids,C01885
MAG(20:5),Complex lipids,C01885
MAG(22:0),Complex lipids,C01885
MAG(22:1),Complex lipids,C01885
MAG(22:2),Complex lipids,C01885
MAG(22:4),Complex lipids,C01885
MAG(22:5),Complex lipids,C01885
MAG(22:6),Complex lipids,C01885
MAG(24:0),Complex lipids,C01885
MAG(24:1),Complex lipids,C01885
MAG(14:0),Complex lipids,C01885
PC(12:0/18:2),Complex lipids,C00157
PC(14:0/14:0),Complex lipids,C00157
PC(14:0/18:3),Complex lipids,C00157
PC(15:0/20:4),Complex lipids,C00157
PC(16:0/20:3),Complex lipids,C00157
PC(17:0/18:3),Complex lipids,C00157
PC(17:0/20:5),Complex lipids,C00157
PC(18:0/20:1),Complex lipids,C00157
PC(18:0/20:2),Complex lipids,C00157
PC(18:1/14:1),Complex lipids,C00157
PC(18:1/22:1),Complex lipids,C00157
PC(18:2/18:2),Complex lipids,C00157
PC(18:2/20:1),Complex lipids,C00157
PC(20:0/18:1),Complex lipids,C00157
PC(20:0/18:2),Complex lipids,C00157
PC(20:0/20:4),Complex lipids,C00157
PC(16:0/14:0),Complex lipids,C00157
PC(16:0/16:1),Complex lipids,C00157
PC(18:1/20:1),Complex lipids,C00157
PC(18:1/20:5),Complex lipids,C00157
PC(18:1/22:6),Complex lipids,C00157
PC(18:2/20:3),Complex lipids,C00157
PC(18:2/22:5),Complex lipids,C00157
PC(14:0/20:2),Complex lipids,C00157
PC(15:0/22:6),Complex lipids,C00157
PC(16:0/16:0),Complex lipids,C00157
PC(16:0/18:1),Complex lipids,C00157
PC(16:0/20:1),Complex lipids,C00157
PC(17:0/16:1),Complex lipids,C00157
PC(17:0/22:6),Complex lipids,C00157
PC(18:0/18:0),Complex lipids,C00157
PC(18:0/22:5),Complex lipids,C00157
PC(18:1/22:5),Complex lipids,C00157
PC(18:2/20:5),Complex lipids,C00157
PC(12:0/16:1),Complex lipids,C00157
PC(14:0/20:3),Complex lipids,C00157
PC(16:0/18:3),Complex lipids,C00157
PC(17:0/20:4),Complex lipids,C00157
PC(17:0/22:4),Complex lipids,C00157
PC(18:0/12:0),Complex lipids,C00157
PC(18:0/16:1),Complex lipids,C00157
PC(18:0/22:4),Complex lipids,C00157
