MET_CHEM_NO,UNIQUE_ANALYTE_ID,METABOLITE_NAME,ONTOLOGY2_NAME,ONTOLOGY1_NAME,CAS_UID,DICT_STRUCTURE_ELUCIDATION_ID,KEGG_ID
18100043,10043,Arginine,"Amino acids, basic",Amino acids,CAS-74-79-3,1,C00062
18100051,10051,beta-Carotene,Carotenoids,"Vitamins, cofactors and related",CAS-7235-40-7,1,C02094
18100056,10056,Canthaxanthin,Alimentary,Microbiome or alimentary,CAS-514-78-3,1,C08583
18100058,10058,Cryptoxanthin,Alimentary,Microbiome or alimentary,CAS-472-70-8,1,C08591
18100072,10072,"gamma-Tocopherol (additional: 2,3-Dimethyl-5-phytylquinol, beta-Tocopherol)",Tocopherols and related,"Vitamins, cofactors and related",CAS-54-28-4,1,C02483
18100120,10120,"Coenzyme Q10, oxidized",Redox-carrier and related,"Vitamins, cofactors and related",CAS-303-98-0,1,C11378
18100140,10140,"Sorbitol (additional: Galactitol, Mannitol)",Polyols,Carbohydrates and related,CAS-50-70-4,1,C00794
18100156,10156,Aspartate (additional: Iminodiacetic acid),"Amino acids, acidic",Amino acids,CAS-56-84-8,1,C00049
18100159,10159,Citrulline,Urea cycle and related,Amino acids related,CAS-372-75-8,1,C00327
18100212,10212,"Glucose-6-phosphate (additional: Fructose-6-phosphate, myo-Inositol-1-phosphate, myo-Inositol-2-phosphate, myo-Inositol-4-phosphate)",Glycolysis/Gluconeogenesis,Energy metabolism and related,CAS-56-73-5,1,C00092
18100225,10225,Pantothenic acid,Acyl-carriers and related,"Vitamins, cofactors and related","CAS-79-83-4 , CAS-137-08-6",1,C00864
18100230,10230,Taurine,"Amino acids, S-containing",Amino acids,CAS-107-35-7,1,C00245
18100230,10230,Taurine,"Amino acids, S-containing",Amino acids,CAS-107-35-7,1,C00245
18100275,10275,Salicylic acid,Miscellaneous,Miscellaneous,CAS-69-72-7,1,C00805
18100281,10281,"Coenzyme Q9, oxidized",Redox-carrier and related,"Vitamins, cofactors and related",CAS-303-97-9,1,C01967
18100289,10289,Cortisol,Steroids and related,"Hormones, signal substances and related",CAS-50-23-7,1,C00735
18100289,10289,Cortisol,Steroids and related,"Hormones, signal substances and related",CAS-50-23-7,1,C00735
18100292,10292,Cholic acid,Primary bile acids,Bile acids,CAS-81-25-4,1,C00695
18100295,10295,Glucuronic acid,Sugar acids,Carbohydrates and related,"CAS-528-16-5 , CAS-6556-12-3",1,C00191
18100307,10307,Pregnenolone sulfate,Steroids and related,"Hormones, signal substances and related",CAS-1247-64-9,1,C18044
18100321,10321,Creatinine,Creatine metabolism,Amino acids related,CAS-60-27-5,1,C00791
18100325,10325,Creatine,Creatine metabolism,Amino acids related,CAS-57-00-1,1,C00300
18100327,10327,Kynurenic acid,Tryptophan metabolism,Amino acids related,CAS-492-27-3,1,C01717
18100328,10328,Nicotinamide,Redox-carrier and related,"Vitamins, cofactors and related",CAS-98-92-0,1,C00153
18100397,10397,Glycochenodeoxycholic acid (additional: Glycodeoxycholic acid),Primary bile acids,Bile acids,CAS-640-79-9,1,C05466
